id,url,type
23423,https://www.tietoevry.com/en/industry/pulp-paper-and-fibre/,add
45645,https://www.tietoevry.com/en/industry/data-platforms/industry-messaging/swift-connectivity-for-corporates/,delete
23424,https://www.tietoevry.com/en/blog/2025/07/vat-in-the-digital-age/,add
23425,https://www.tietoevry.com/en/blog/2025/06/,add
23426,https://www.tietoevry.com/en/blog/2025/06/ai-can-help-with-your-esg-data/,add
23427,https://www.tietoevry.com/en/blog/2025/06/one-minute-is-all-it-takes/,add
23428,https://www.tietoevry.com/en/blog/2025/06/new-white-paper-optimal-approaches-to-atm-pooling/,add
23429,https://www.tietoevry.com/en/blog/2025/06/say-goodbye-to-monoliths--modular-clinical-applications-offer-flexibility-and-speed/,add
23430,https://www.tietoevry.com/en/blog/2025/06/celebrating-pride-is-about-living-our-values/,add
23431,https://www.tietoevry.com/en/blog/2025/06/lessons-from-eucnc-6g-summit/,add
